url,ok,error,final_url,title,title_len,meta_description,meta_len,canonical,robots,h1_count,h1_text,h2_count,h3_count,word_count,link_count,internal_blog_links,internal_app_links,city_links,schema_types,slug,trailing_slash_url,trailing_slash_canonical
https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,1,,https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,15 Alimentos Antiinflamatorios para Runners: Recupera Más Rápido - CorrerJuntos,79,"Los mejores alimentos antiinflamatorios para corredores: reduce inflamación, acelera recuperación y previene lesiones con estos 15 alimentos clave.",147,https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,"index, follow",1,15 Alimentos Antiinflamatorios para Runners: Recupera Más Rápido,12,45,6153,72,16,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,alimentos-antiinflamatorios-runners,0,0
https://www.correrjuntos.com/blog/apple-watch-running-review,1,,https://www.correrjuntos.com/blog/apple-watch-running-review,Apple Watch para Running: ¿Merece la Pena para Corredores? | CorrerJuntos,73,"Análisis del Apple Watch para running: GPS, métricas de carrera, detección de caídas, música y apps. ¿Es suficiente para corredores serios?",139,https://www.correrjuntos.com/blog/apple-watch-running-review,"index, follow",1,Apple Watch para Running: ¿Merece la Pena para Corredores?,15,33,5900,79,16,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,apple-watch-running-review,0,0
https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,1,,https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,ASICS Gel-Nimbus 26 vs Nike Pegasus 41: Cuál Elegir en 2026 - CorrerJuntos,74,"Comparativa ASICS Gel-Nimbus 26 vs Nike Pegasus 41. Amortiguación, peso, precio y para quién es cada una. La premium vs la versátil.",132,https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,"index, follow",1,ASICS Gel-Nimbus 26 vs Nike Pegasus 41: Cuál Elegir en 2026,12,10,1760,62,7,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,asics-gel-nimbus-26-vs-nike-pegasus-41,0,0
https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026/,1,,https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,Las 10 mejores mochilas para CrossFit en 2026 | CorrerJuntos,60,"Comparativa de las 10 mejores mochilas para CrossFit en 2026. Modelos resistentes para entrenamiento híbrido, gym training y running + fuerza.",142,https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,"index, follow",1,Las 10 mejores mochilas para CrossFit en 2026,7,15,1598,32,4,0,0,Answer|BlogPosting|BreadcrumbList|FAQPage|ListItem|Question,mejores-mochilas-crossfit-2026,1,0
https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,1,,https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,Auriculares de Conducción Ósea vs In-Ear para Correr: ¿Cuál Elegir? | CorrerJuntos,82,"Comparativa completa entre auriculares de conducción ósea e in-ear para running. Seguridad, calidad de sonido, comodidad y los mejores modelos de 2026.",151,https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,"index, follow",1,Auriculares de Conducción Ósea vs In-Ear para Correr: ¿Cuál Elegir?,12,25,4438,79,10,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,auriculares-conduccion-osea-vs-in-ear-running,0,0
https://www.correrjuntos.com/blog/auriculares-running-natacion,1,,https://www.correrjuntos.com/blog/auriculares-running-natacion,Los Mejores Auriculares para Running y Natacion 2026: Guia Completa | CorrerJuntos,82,"Los 6 mejores auriculares para running y natacion en 2026. Conduccion osea, MP3 acuatico, IP68 y guía completa para triatletas. Shokz, FINIS, Sony y más.",153,https://www.correrjuntos.com/blog/auriculares-running-natacion,"index, follow",1,Los Mejores Auriculares para Running y Natacion 2026,18,31,6218,93,12,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,auriculares-running-natacion,0,0
https://www.correrjuntos.com/blog/ayuno-intermitente-running,1,,https://www.correrjuntos.com/blog/ayuno-intermitente-running,Ayuno Intermitente y Running: ¿Compatible o Peligroso? - CorrerJuntos,69,"Ayuno intermitente para corredores: beneficios, riesgos, protocolos 16:8 y 5:2, cuándo entrenar en ayunas y cuándo evitarlo. Guía basada en evidencia.",150,https://www.correrjuntos.com/blog/ayuno-intermitente-running,"index, follow",1,Ayuno Intermitente y Running: ¿Compatible o Peligroso?,13,29,4575,66,17,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,ayuno-intermitente-running,0,0
https://www.correrjuntos.com/blog/beneficios-correr-en-grupo,1,,https://www.correrjuntos.com/blog/beneficios-correr-en-grupo,7 Beneficios de Correr en Grupo Respaldados por Ciencia,55,"Los 7 beneficios de correr en grupo según la ciencia: más constancia, mejor rendimiento y salud mental. Descubre por qué correr acompañado engancha.",148,https://www.correrjuntos.com/blog/beneficios-correr-en-grupo,"index, follow",1,7 Beneficios de Correr en Grupo (Respaldados por la Ciencia),8,7,1290,56,17,5,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,beneficios-correr-en-grupo,0,0
https://www.correrjuntos.com/blog/beneficios-de-correr,1,,https://www.correrjuntos.com/blog/beneficios-de-correr,Beneficios de Correr: 15 Razones Respaldadas por la Ciencia 2026 | CorrerJuntos,79,"Descubre los 15 beneficios de correr avalados por la ciencia: salud cardiovascular, pérdida de peso, salud mental, longevidad y más. Guía completa para motivarte a empezar.",172,https://www.correrjuntos.com/blog/beneficios-de-correr,"index, follow",1,Beneficios de Correr: 15 Razones Respaldadas por la Ciencia,10,25,2302,62,13,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,beneficios-de-correr,0,0
https://www.correrjuntos.com/blog/cafeina-running-rendimiento,1,,https://www.correrjuntos.com/blog/cafeina-running-rendimiento,Cafeína y Running: Cómo Usarla para Mejorar tu Rendimiento | CorrerJuntos,73,"Cafeína para corredores: dosis óptima, timing, efectos en rendimiento, geles con cafeína, tolerancia y protocolo para carreras. Guía basada en ciencia.",151,https://www.correrjuntos.com/blog/cafeina-running-rendimiento,"index, follow",1,Cafeína y Running: Cómo Usarla para Mejorar tu Rendimiento,14,38,5476,71,14,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,cafeina-running-rendimiento,0,0
