url,ok,error,final_url,title,title_len,meta_description,meta_len,canonical,robots,h1_count,h1_text,h2_count,h3_count,word_count,link_count,internal_blog_links,internal_app_links,city_links,schema_types,path,depth,has_folder
https://www.correrjuntos.com/blog/agujetas-despues-de-correr,1,,https://www.correrjuntos.com/blog/agujetas-despues-de-correr,Agujetas Después de Correr: Qué Son y Cómo Aliviarlas | CorrerJuntos,68,"Todo sobre las agujetas después de correr: por qué aparecen, cuánto duran, cómo aliviarlas rápido y cuándo son señal de que algo va mal.",136,https://www.correrjuntos.com/blog/agujetas-despues-de-correr,"index, follow",1,Agujetas Después de Correr: Qué Son y Cómo Aliviarlas,11,13,1978,41,14,1,1,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/agujetas-despues-de-correr,2,0
https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,1,,https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,15 Alimentos Antiinflamatorios para Runners: Recupera Más Rápido - CorrerJuntos,79,"Los mejores alimentos antiinflamatorios para corredores: reduce inflamación, acelera recuperación y previene lesiones con estos 15 alimentos clave.",147,https://www.correrjuntos.com/blog/alimentos-antiinflamatorios-runners,"index, follow",1,15 Alimentos Antiinflamatorios para Runners: Recupera Más Rápido,12,45,6153,72,16,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/alimentos-antiinflamatorios-runners,2,0
https://www.correrjuntos.com/blog/andar-vs-correr,1,,https://www.correrjuntos.com/blog/andar-vs-correr,Andar vs Correr: ¿Qué Es Mejor para tu Salud? [Comparativa] | CorrerJuntos,74,"Comparativa completa entre andar y correr: calorías, impacto articular, beneficios cardiovasculares, pérdida de peso y cuándo elegir cada uno.",142,https://www.correrjuntos.com/blog/andar-vs-correr,"index, follow",1,Andar vs Correr: ¿Qué Es Mejor para tu Salud?,14,7,2607,67,14,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/andar-vs-correr,2,0
https://www.correrjuntos.com/blog/apple-watch-running-review,1,,https://www.correrjuntos.com/blog/apple-watch-running-review,Apple Watch para Running: ¿Merece la Pena para Corredores? | CorrerJuntos,73,"Análisis del Apple Watch para running: GPS, métricas de carrera, detección de caídas, música y apps. ¿Es suficiente para corredores serios?",139,https://www.correrjuntos.com/blog/apple-watch-running-review,"index, follow",1,Apple Watch para Running: ¿Merece la Pena para Corredores?,15,33,5900,79,16,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/apple-watch-running-review,2,0
https://www.correrjuntos.com/blog/apps-correr-en-grupo,1,,https://www.correrjuntos.com/blog/apps-correr-en-grupo,Mejores Apps para Correr en Grupo en España 2026,48,"Las mejores apps para correr en grupo en España en 2026. Comparamos CorrerJuntos, Strava, Nike Run Club y más. Pros, contras y precios de cada una.",147,https://www.correrjuntos.com/blog/apps-correr-en-grupo,"index, follow",1,Las 10 Mejores Apps para Correr en Grupo en España 2026,19,20,2821,84,19,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/apps-correr-en-grupo,2,0
https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,1,,https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,ASICS Gel-Nimbus 26 vs Nike Pegasus 41: Cuál Elegir en 2026 - CorrerJuntos,74,"Comparativa ASICS Gel-Nimbus 26 vs Nike Pegasus 41. Amortiguación, peso, precio y para quién es cada una. La premium vs la versátil.",132,https://www.correrjuntos.com/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,"index, follow",1,ASICS Gel-Nimbus 26 vs Nike Pegasus 41: Cuál Elegir en 2026,12,10,1760,62,7,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/asics-gel-nimbus-26-vs-nike-pegasus-41,2,0
https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,1,,https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,Las 10 mejores mochilas para CrossFit en 2026 | CorrerJuntos,60,"Comparativa de las 10 mejores mochilas para CrossFit en 2026. Modelos resistentes para entrenamiento híbrido, gym training y running + fuerza.",142,https://www.correrjuntos.com/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,"index, follow",1,Las 10 mejores mochilas para CrossFit en 2026,7,15,1598,32,4,0,0,Answer|BlogPosting|BreadcrumbList|FAQPage|ListItem|Question,/blog/atletas-hibridos/mejores-mochilas-crossfit-2026,3,1
https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,1,,https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,Auriculares de Conducción Ósea vs In-Ear para Correr: ¿Cuál Elegir? | CorrerJuntos,82,"Comparativa completa entre auriculares de conducción ósea e in-ear para running. Seguridad, calidad de sonido, comodidad y los mejores modelos de 2026.",151,https://www.correrjuntos.com/blog/auriculares-conduccion-osea-vs-in-ear-running,"index, follow",1,Auriculares de Conducción Ósea vs In-Ear para Correr: ¿Cuál Elegir?,12,25,4438,79,10,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/auriculares-conduccion-osea-vs-in-ear-running,2,0
https://www.correrjuntos.com/blog/auriculares-running-natacion,1,,https://www.correrjuntos.com/blog/auriculares-running-natacion,Los Mejores Auriculares para Running y Natacion 2026: Guia Completa | CorrerJuntos,82,"Los 6 mejores auriculares para running y natacion en 2026. Conduccion osea, MP3 acuatico, IP68 y guía completa para triatletas. Shokz, FINIS, Sony y más.",153,https://www.correrjuntos.com/blog/auriculares-running-natacion,"index, follow",1,Los Mejores Auriculares para Running y Natacion 2026,18,31,6218,93,12,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/auriculares-running-natacion,2,0
https://www.correrjuntos.com/blog/ayuno-intermitente-running,1,,https://www.correrjuntos.com/blog/ayuno-intermitente-running,Ayuno Intermitente y Running: ¿Compatible o Peligroso? - CorrerJuntos,69,"Ayuno intermitente para corredores: beneficios, riesgos, protocolos 16:8 y 5:2, cuándo entrenar en ayunas y cuándo evitarlo. Guía basada en evidencia.",150,https://www.correrjuntos.com/blog/ayuno-intermitente-running,"index, follow",1,Ayuno Intermitente y Running: ¿Compatible o Peligroso?,13,29,4575,66,17,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/ayuno-intermitente-running,2,0
https://www.correrjuntos.com/blog/bastones-trail-running,1,,https://www.correrjuntos.com/blog/bastones-trail-running,Bastones para Trail Running: Guía de Compra y Uso 2026 | CorrerJuntos,69,"Guía completa de bastones para trail running. Tipos, materiales, longitud, técnica de uso y los mejores modelos de 2026. Todo para elegir tus bastones ideales.",159,https://www.correrjuntos.com/blog/bastones-trail-running,"index, follow",1,Bastones para Trail Running: Guía de Compra y Uso,11,13,1291,49,15,3,2,Answer|BlogPosting|BreadcrumbList|FAQPage|ImageObject|ListItem|Organization|Person|Question|WebPage|WebSite,/blog/bastones-trail-running,2,0
